source_id,provider,title,url,source_type,initial_tags,relevance,priority,notes
SRC027,Microsoft,Agentic Automation Adoption Guide,https://adoption.microsoft.com/files/agents/AgenticAutomationAdoptionGuide.pdf,official guide PDF,adoption; automation; enterprise workflows; governance,medium,P1,Enterprise adoption guide for agentic automation.
SRC028,Microsoft,The Microsoft Agent Factory white paper,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/bade/documents/products-and-services/en-us/ai/The-Microsoft-Agent-Factory-white-paper-Feb-2026.pdf,official white paper PDF,enterprise agents; operating model; governance; agent factory,medium,P1,Useful for enterprise operating model and governance framing.
SRC029,GitHub,Best practices for using GitHub Copilot to work on tasks,https://docs.github.com/en/copilot/using-github-copilot/coding-agent/best-practices-for-using-copilot-to-work-on-tasks,official documentation,coding agent; task scoping; MCP; dependencies; validation,high,P0,Directly relevant to AI coding-agent task delegation and repository preparation.
SRC030,GitHub,About GitHub Copilot coding agent,https://docs.github.com/en/copilot/using-github-copilot/coding-agent/about-assigning-tasks-to-copilot,official documentation,coding agent; custom instructions; memory; hooks; MCP,high,P0,Good overview of coding-agent customization and repository knowledge.
SRC031,GitHub,Best practices for GitHub Copilot CLI,https://docs.github.com/copilot/how-tos/copilot-cli/cli-best-practices,official documentation,CLI agent; AGENTS.md; allowed tools; validation commands; model selection,high,P0,"Excellent source for AGENTS.md, allowed tools, validation commands, and CLI agent setup."
SRC032,GitHub,About customizing GitHub Copilot responses,https://docs.github.com/en/copilot/concepts/about-customizing-github-copilot-chat-responses,official documentation,custom instructions; AGENTS.md; precedence; repository context,medium,P1,Useful for custom-instruction precedence and repository context rules.
SRC033,Cursor,Rules,https://docs.cursor.com/context/rules-for-ai,official documentation,rules; AGENTS.md; scoped instructions; reusable context; Cursor,high,P0,"Directly relevant to rules, AGENTS.md, persistent context, and scoped AI instructions."
SRC034,Windsurf,"Introduction to Rules, Memories, & Workflows",https://windsurf.com/university/general-education/intro-rules-memories,official education article,rules; memories; workflows; customization; Cascade,medium,P1,"Relevant to agent customization using rules, memories, and workflows."
SRC035,Devin,Best Practices,https://docs.devin.ai/enterprise/best-Practices,official documentation,task slicing; verification; parallel execution; human review; reliability,high,P0,"Strong source for task slicing, verification, independent subtasks, and human review."
SRC036,Devin,Introducing Devin,https://docs.devin.ai/,official documentation,use cases; coding agent strengths; parallel tasks; terminal use,medium,P1,Useful overview of coding-agent strengths and suitable use cases.
SRC037,LangChain,Agents,https://docs.langchain.com/oss/python/langchain/agents,official documentation,agent loop; tools; middleware; memory; structured output,high,P0,"Core LangChain agent docs, especially tools, middleware, memory, and structured output."
SRC038,LangChain,Context engineering in agents,https://docs.langchain.com/oss/python/langchain/context-engineering,official documentation,context engineering; model context; tools; lifecycle context; reliability,high,P0,Highly relevant to context engineering as a reliability bottleneck for agents.
SRC039,LangGraph,Workflows and agents,https://docs.langchain.com/oss/python/langgraph/workflows-agents,official documentation,workflows vs agents; graph orchestration; persistence; debugging,medium,P1,Useful for workflow/agent pattern distinctions and graph-based orchestration.
SRC040,LangChain,Subagents,https://docs.langchain.com/oss/python/deepagents/subagents,official documentation,subagents; delegation; context isolation; specialized instructions,medium,P1,Relevant for subagent delegation and context isolation.
SRC041,LangChain,Subagent streaming,https://docs.langchain.com/oss/python/deepagents/frontend/subagent-streaming,official documentation,multi-agent UI; streaming; observability; error handling,low,P2,Narrower UI/observability guidance for subagent workflows.
SRC042,LlamaIndex,Agents use case,https://docs.llamaindex.ai/en/stable/use_cases/agents/,official documentation,agents; tools; planning; memory; workflows,medium,P1,Useful conceptual source for LlamaIndex agent use cases and components.
SRC043,LlamaIndex,Agents module guide,https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/,official documentation,agent definition; tools; memory; workflows,medium,P1,Framework-oriented agent definition and implementation source.
SRC044,LlamaIndex,Posts tagged Agents,https://www.llamaindex.ai/blog/tag/agents,official blog index,agentic retrieval; workflows; memory; design patterns,low,P2,Index page for finding LlamaIndex official agent articles; use individual posts later.
SRC045,Meta,LlamaFirewall: guardrail system for building secure AI agents,https://ai.meta.com/research/publications/llamafirewall-an-open-source-guardrail-system-for-building-secure-ai-agents/,official research publication,guardrails; prompt injection; agent security; insecure code; safety,medium,P1,Security-focused agent guardrail source from Meta.
SRC046,Meta,Expanding our open source large language models responsibly,https://ai.meta.com/blog/meta-llama-3-1-ai-responsibility/,official blog article,safety evaluations; prompt guard; red teaming; responsible release,low,P2,Broader responsible AI source with some agent-relevant security/eval material.
SRC047,Meta,The Llama 4 herd,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,official blog article,AI protections; system-level safeguards; evaluations; GOAT,low,P2,Useful if covering system-level safeguards and AI protections.
SRC048,Meta,Meta and Microsoft Introduce the Next Generation of Llama,https://ai.meta.com/blog/llama-2/,official blog article,responsible use guide; safety evaluation; acceptable use,low,P2,Older but official source for responsible use and safety-evaluation framing.
