url,id,title,category,provider,source_type,initial_tags,relevance,priority,notes
https://cloud.google.com/blog/products/ai-machine-learning/how-to-design-conversational-ai-agents,SRC021,How to design conversational AI agents,,Google Cloud,official blog article,conversational design; UX; transparency; multimodal input,low,P2,More UX-oriented but relevant when covering agent interaction design.
https://cloud.google.com/blog/products/ai-machine-learning/building-conversational-ai-experiences-with-gen-ai,SRC022,Building conversational AI experiences with gen AI,,Google Cloud,official blog article,conversational AI; knowledge grounding; best practices; virtual agents,low,P2,Useful supporting source for conversational agent experiences.
https://learn.microsoft.com/en-us/microsoft-365/copilot/extensibility/declarative-agent-instructions,SRC023,Write effective instructions for declarative agents,,Microsoft,official documentation,agent instructions; workflows; structure; examples; transitions,high,P0,"Strong source for instruction writing, workflow structure, and agent behavior control."
https://learn.microsoft.com/en-us/microsoft-365-copilot/extensibility/declarative-agent-best-practices,SRC024,Best practices for building declarative agents,,Microsoft,official documentation,declarative agents; knowledge; actions; boundaries; Copilot,high,P0,Best-practice source for Microsoft 365 Copilot declarative agents.
https://learn.microsoft.com/en-us/agents/design-guidelines/human-centered-design,SRC025,Human-centered Design for Agents,,Microsoft,official documentation,human-centered design; trust; transparency; UX; user control,medium,P1,Useful for user control and trustworthy agent experience design.
https://learn.microsoft.com/en-us/partner-center/marketplace-offers/artificial-intelligence-app-agent-best-practices,SRC026,Best practices for building AI apps and agents for Microsoft Marketplace,production_operations,Microsoft,official documentation,production; prompt versioning; CI validation; deployment; traceability,high,P0,"Highly relevant for production practices, modular prompts, versioning, CI validation, and deployment."
https://adoption.microsoft.com/files/agents/AgenticAutomationAdoptionGuide.pdf,SRC027,Agentic Automation Adoption Guide,,Microsoft,official guide PDF,adoption; automation; enterprise workflows; governance,medium,P1,Enterprise adoption guide for agentic automation.
https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/bade/documents/products-and-services/en-us/ai/The-Microsoft-Agent-Factory-white-paper-Feb-2026.pdf,SRC028,The Microsoft Agent Factory white paper,,Microsoft,official white paper PDF,enterprise agents; operating model; governance; agent factory,medium,P1,Useful for enterprise operating model and governance framing.
https://docs.github.com/en/copilot/using-github-copilot/coding-agent/best-practices-for-using-copilot-to-work-on-tasks,SRC029,Best practices for using GitHub Copilot to work on tasks,,GitHub,official documentation,coding agent; task scoping; MCP; dependencies; validation,high,P0,Directly relevant to AI coding-agent task delegation and repository preparation.
https://docs.github.com/en/copilot/using-github-copilot/coding-agent/about-assigning-tasks-to-copilot,SRC030,About GitHub Copilot coding agent,,GitHub,official documentation,coding agent; custom instructions; memory; hooks; MCP,high,P0,Good overview of coding-agent customization and repository knowledge.
https://docs.github.com/copilot/how-tos/copilot-cli/cli-best-practices,SRC031,Best practices for GitHub Copilot CLI,,GitHub,official documentation,CLI agent; AGENTS.md; allowed tools; validation commands; model selection,high,P0,"Excellent source for AGENTS.md, allowed tools, validation commands, and CLI agent setup."
https://docs.github.com/en/copilot/concepts/about-customizing-github-copilot-chat-responses,SRC032,About customizing GitHub Copilot responses,,GitHub,official documentation,custom instructions; AGENTS.md; precedence; repository context,medium,P1,Useful for custom-instruction precedence and repository context rules.
https://docs.cursor.com/context/rules-for-ai,SRC033,Rules,,Cursor,official documentation,rules; AGENTS.md; scoped instructions; reusable context; Cursor,high,P0,"Directly relevant to rules, AGENTS.md, persistent context, and scoped AI instructions."
https://windsurf.com/university/general-education/intro-rules-memories,SRC034,"Introduction to Rules, Memories, & Workflows",,Windsurf,official education article,rules; memories; workflows; customization; Cascade,medium,P1,"Relevant to agent customization using rules, memories, and workflows."
https://docs.devin.ai/enterprise/best-Practices,SRC035,Best Practices,,Devin,official documentation,task slicing; verification; parallel execution; human review; reliability,high,P0,"Strong source for task slicing, verification, independent subtasks, and human review."
https://docs.devin.ai/,SRC036,Introducing Devin,,Devin,official documentation,use cases; coding agent strengths; parallel tasks; terminal use,medium,P1,Useful overview of coding-agent strengths and suitable use cases.
https://docs.langchain.com/oss/python/langchain/agents,SRC037,Agents,,LangChain,official documentation,agent loop; tools; middleware; memory; structured output,high,P0,"Core LangChain agent docs, especially tools, middleware, memory, and structured output."
https://docs.langchain.com/oss/python/langchain/context-engineering,SRC038,Context engineering in agents,,LangChain,official documentation,context engineering; model context; tools; lifecycle context; reliability,high,P0,Highly relevant to context engineering as a reliability bottleneck for agents.
https://docs.langchain.com/oss/python/langgraph/workflows-agents,SRC039,Workflows and agents,framework_docs,LangGraph,official documentation,workflows vs agents; graph orchestration; persistence; debugging,medium,P1,Useful for workflow/agent pattern distinctions and graph-based orchestration.
https://docs.langchain.com/oss/python/deepagents/subagents,SRC040,Subagents,,LangChain,official documentation,subagents; delegation; context isolation; specialized instructions,medium,P1,Relevant for subagent delegation and context isolation.
https://docs.langchain.com/oss/python/deepagents/frontend/subagent-streaming,SRC041,Subagent streaming,,LangChain,official documentation,multi-agent UI; streaming; observability; error handling,low,P2,Narrower UI/observability guidance for subagent workflows.
https://docs.llamaindex.ai/en/stable/use_cases/agents/,SRC042,Agents use case,,LlamaIndex,official documentation,agents; tools; planning; memory; workflows,medium,P1,Useful conceptual source for LlamaIndex agent use cases and components.
https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/,SRC043,Agents module guide,,LlamaIndex,official documentation,agent definition; tools; memory; workflows,medium,P1,Framework-oriented agent definition and implementation source.
https://www.llamaindex.ai/blog/tag/agents,SRC044,Posts tagged Agents,,LlamaIndex,official blog index,agentic retrieval; workflows; memory; design patterns,low,P2,Index page for finding LlamaIndex official agent articles; use individual posts later.
https://ai.meta.com/research/publications/llamafirewall-an-open-source-guardrail-system-for-building-secure-ai-agents/,SRC045,LlamaFirewall: guardrail system for building secure AI agents,,Meta,official research publication,guardrails; prompt injection; agent security; insecure code; safety,medium,P1,Security-focused agent guardrail source from Meta.
https://ai.meta.com/blog/meta-llama-3-1-ai-responsibility/,SRC046,Expanding our open source large language models responsibly,,Meta,official blog article,safety evaluations; prompt guard; red teaming; responsible release,low,P2,Broader responsible AI source with some agent-relevant security/eval material.
https://ai.meta.com/blog/llama-4-multimodal-intelligence/,SRC047,The Llama 4 herd,,Meta,official blog article,AI protections; system-level safeguards; evaluations; GOAT,low,P2,Useful if covering system-level safeguards and AI protections.
https://ai.meta.com/blog/llama-2/,SRC048,Meta and Microsoft Introduce the Next Generation of Llama,,Meta,official blog article,responsible use guide; safety evaluation; acceptable use,low,P2,Older but official source for responsible use and safety-evaluation framing.
https://developers.openai.com/codex/learn/best-practices,openai_codex_best_practices,Best practices – Codex,coding_agents,OpenAI,,,,,
https://developers.openai.com/tracks/building-agents,openai_building_agents,Building agents,agent_design,OpenAI,,,,,
https://developers.openai.com/api/docs/guides/reasoning-best-practices,openai_reasoning_best_practices,Reasoning best practices,prompting,OpenAI,,,,,
https://developers.openai.com/api/docs/guides/prompt-engineering,openai_prompt_engineering,Prompt engineering,prompting,OpenAI,,,,,
https://developers.openai.com/api/docs/guides/agent-evals,openai_agent_evals,Agent Evals,evals,OpenAI,,,,,
https://developers.openai.com/api/docs/guides/agents/guardrails-approvals,openai_safety_in_building_agents,Safety in building agents,safety_guardrails,OpenAI,,,,,
https://www.anthropic.com/engineering/claude-code-best-practices,anthropic_claude_code_best_practices_for_agentic_coding,Claude Code: Best practices for agentic coding,coding_agents,Anthropic,,,,,
https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents,anthropic_effective_harnesses_for_long_running_agents,Effective harnesses for long-running agents,production_operations,Anthropic,,,,,
https://www.anthropic.com/engineering/harness-design-long-running-apps,anthropic_harness_design_for_long_running_application_development,Harness design for long-running application development,production_operations,Anthropic,,,,,
https://www.anthropic.com/engineering/code-execution-with-mCP,anthropic_code_execution_with_mcp,Code execution with MCP: Building more efficient agents,tool_use,Anthropic,,,,,
https://www.anthropic.com/engineering/claude-code-auto-mode,anthropic_claude_code_auto_mode,How we built Claude Code auto mode: a safer way to skip permissions,coding_agents,Anthropic,,,,,
https://www.anthropic.com/engineering/claude-code-sandboxing,anthropic_claude_code_sandboxing,Making Claude Code more secure and autonomous with sandboxing,security,Anthropic,,,,,
https://www.anthropic.com/engineering/how-we-contain-claude,anthropic_how_we_contain_claude,How we contain Claude across products,security,Anthropic,,,,,
https://cloud.google.com/blog/topics/developers-practitioners/five-guides-to-building-and-scaling-production-ready-ai-agents,google_five_guides_to_building_and_scaling_production_ready_ai_agents,Five guides to building and scaling production-ready AI agents,production_operations,Google Cloud,,,,,
https://cloud.google.com/blog/products/ai-machine-learning/a-devs-guide-to-production-ready-ai-agents/,google_devs_guide_to_production_ready_ai_agents,A dev’s guide to production-ready AI agents,production_operations,Google Cloud,,,,,
https://docs.cloud.google.com/customer-engagement-ai/conversational-agents/ps/best-practices,google_best_practices_and_patterns,Best practices and patterns,agent_design,Google Cloud,,,,,
https://docs.cloud.google.com/architecture/choose-design-pattern-agentic-ai-system,google_choose_design_pattern_for_agentic_ai_system,Choose a design pattern for your agentic AI system,agent_design,Google Cloud,,,,,
https://docs.cloud.google.com/architecture/agentic-ai-overview,google_agentic_ai_architecture_guides,Agentic AI architecture guides,agent_design,Google Cloud,,,,,
https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/best-practices.html,aws_bedrock_agentcore_best_practices,Best practices - Amazon Bedrock AgentCore,production_operations,AWS,,,,,
https://docs.aws.amazon.com/bedrock/latest/userguide/scaling-throughput-best-practices.html,aws_bedrock_scaling_throughput_best_practices,Scaling and throughput best practices - Amazon Bedrock,production_operations,AWS,,,,,
https://learn.microsoft.com/en-us/training/modules/adopt-ai-agent-best-practice/,microsoft_adopt_ai_agent_best_practice,Implement best practices to empower AI agent efficiency and ensure long-term success,organizational_adoption,Microsoft,,,,,
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/,microsoft_ai_agent_adoption_guidance,AI Agent Adoption Guidance for Organizations,organizational_adoption,Microsoft,,,,,
https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/governance-security-across-organization,microsoft_governance_security_across_organization,Governance and security for AI agents across the organization,security,Microsoft,,,,,
https://learn.microsoft.com/en-us/agents/architecture/,microsoft_architecting_agent_solutions,Architecting agent solutions: Principles and patterns,agent_design,Microsoft,,,,,
https://docs.langchain.com/oss/python/langgraph/thinking-in-langgraph,langchain_thinking_in_langgraph,Thinking in LangGraph,framework_docs,LangChain,,,,,
https://docs.langchain.com/langsmith/evaluate-complex-agent,langchain_evaluate_complex_agent,Evaluate a complex agent,evals,LangChain,,,,,
https://docs.langchain.com/langsmith/evaluate-graph,langchain_evaluate_graph,How to evaluate a graph,evals,LangChain,,,,,
https://huggingface.co/docs/smolagents/tutorials/building_good_agents,huggingface_building_good_agents,Building good agents,framework_docs,Hugging Face,,,,,
